The Godfather|1972|Crime, Drama
The Shawshank Redemption|1994|Drama
The Shining|1980|Horror, Mystery
Wall-E|2008|Animation, Adventure, Family
The Dark Knight|2008|Action, Crime, Drama
The Lord of the Rings: The Return of the King|2003|Adventure, Drama, Fantasy
The Lord of the Rings: The Fellowship of the Ring|2001|Adventure, Drama, Fantasy
The Lord of the Rings: The Two Towers|2002|Adventure, Drama, Fantasy
The Matrix|1999|Action, Sci-Fi
The Matrix Reloaded|2003|Action, Sci-Fi
21 Jump Street|2012|Action, Comedy, Crime
Inception|2010|Action, Adventure, Sci-Fi
Star Wars: Episode V - The Empire Strikes Back|1980|Action, Adventure, Fantasy
Star Wars: Episode IV - A New Hope|1977|Action, Adventure, Fantasy
Star Wars: Episode VI - Return of the Jedi|1983|Action, Adventure, Fantasy
The Silence of the Lambs|1991|Crime, Drama, Thriller
Resevoir Dogs|1992|Crime, Drama, Thriller
Se7en|1995|Crime, Drama, Mystery
School of Rock|2003|Comedy, Music
The Prestige|2006|Drama, Mystery, Sci-Fi
Goodfellas|1990|Crime, Drama
The Thing|1982|Horror, Mystery, Sci-Fi
Aliens|1986|Action, Adventure, Horror
Alien|1979|Horror, Sci-Fi
Hereditary|2018|Drama, Horror, Mystery
Seven Psychopaths|2012|Comedy, Crime, Drama
Shaun of the Dead|2004|Comedy, Horror
The Cabin in the Woods|2012|Comedy, Horror, Mystery
28 Days Later|2002|Drama, Horror, Sci-Fi
Joker|2019|Crime, Drama, Thriller
The Wolf of Wall Street|2013|Biography, Comedy, Crime
The Departed|2006|Crime, Drama, Thriller
The Usual Suspects|1995|Crime, Mystery, Thriller
The Green Mile|1999|Crime, Drama, Fantasy
The Dark Knight Rises|2012|Action, Adventure, Crime
Inglorious Basterds|2009|Adventure, Drama, War
The Big Lebowski|1998|Comedy, Crime
The Hateful Eight|2015|Crime, Drama, Mystery
James and the Giant Peach|1996|Animation, Adventure, Family
Pinnochio|1940|Animation, Family, Fantasy
The Nightmare Before Christmas|1993|Animation, Family, Fantasy
Coraline|2009|Animation, Adventure, Family
Full Metal Jacket|1987|Drama, War
Promare|2019|Animation, Action, Sci-Fi
The Dark Crystal|1982|Adventure, Family, Fantasy
iRobot|2004|Action, Crime, Sci-Fi
I am Legend|2007|Drama, Horror, Sci-Fi
The Truman Show|1998|Comedy, Drama, Sci-Fi
Eternal Sunshine of the Spotless Mind|2004|Drama, Romance, Sci-Fi
Dead Poets Society|1989|Comedy, Drama
The Bee Movie|2007|Comedy, Horror
